what two categories are the four stages of sleep broken up into?	['rapid eye movement (rem) and non-rapid eye movement (nrem) sleep']	0
what do internal nasal dilators work better than?	['nasal strips']	1
how many americans struggle with chronic sleep and wakefulness disorders?	['between 50 and 70 million american adults']	2
when does your body clear away a byproduct called adenosine?	['sleep is also a time when your body clears away a byproduct called adenosine, which builds up in your brain and causes the feeling of tiredness.']	3
what is l-theanine?	['a type of naturally occurring amino acid']	4
what health effects has geomagnetic events that produce geomagnetic fluctuations be connected to?	['headaches, changes in blood pressure and blood flow, heart rate variability, and even heart attack']	5
why may people with severe lung problems be referred for lung volume reduction surgery?	['to improve breathing.']	6
how often should you wash your sheets and pillowcases?	['at least once a week']	7
who is rem sleep shorter in?	['in prey animals like sheep']	8
who would prefer a california king mattress?	['if you or your partner are over 6 feet tall, or if you have a pet that sleeps at the foot of your bed']	9
what disturbances can wake light sleepers?	['outside noise, their partner shifting positions in bed, or a light turning on in the hallway']	10
what do sleep specialist first prescribe for sleep apnea?	['non-invasive treatments']	11
what problems can excessive sleepiness lead to?	['consequential errors and accidents that gravely impact the workplace']	12
what do testers evaluate during body testing?	['the subjective experience of interacting with the mattress']	13
"what is the percentage increase of risk for sleep problems at age 4 for girls with fathers who reported high alcohol consumption"""	['47%']	14
what themes do maladaptive daydreams involve?	['violence, power, control, sex, captivity, or rescue and escape scenarios']	15
what may help reduce oversleeping?	['following a consistent sleep schedule and other elements of sleep hygiene']	16
what is a standard treatment for children with osa?	['tonsillectomy']	17
how much caffeine is the amount found in about four or five cups of coffee?	['up to 400 milligrams of caffeine per day - the amount found in about four or five cups of coffee']	18
when do symptoms of restless legs syndrome peak?	['at bedtime.']	19
what do palatal implants do?	['stiffens the soft palate']	20
what are effects of sleep deprivation in rats?	['quickly lose weight and develop infections.']	21
how can you help a teenager with their sleep?	['by acknowledging the increased demands on their time and working together to find a healthy sleep schedule that works with their lifestyle']	22
when is micrognathia diagnosed?	['during infancy, if not sooner.']	23
when is sleep-related hypoventilation officially diagnosed?	"[""when a person's blood oxygen levels decrease below 90% for five minutes or longer during sleep, and their carbon dioxide levels stay elevated for ten minutes or longer""]"	24
what materials are preferred for intimate activities?	['materials with a bouncier feel like latex and coils']	25
what is imagery rehearsal?	['a type of therapy during which children rehearse less frightening dreams during the day in order to promote more positive dreams at night and decrease nightmares']	26
what does the mallampati score assess?	"[""the size and shape of a patient's tongue and esophageal airway""]"	27
what are some marine mammals who sleep unihemispherically?	['dolphins, eared seals, and manatees']	28
how do people with rls tend to get symptom relief?	['stretching, rubbing or kicking the legs, as well as getting up and walking around.']	29
what is a first step in treating sleep paralysis?	['to talk with a doctor in order to identify and address underlying problems that may be contributing to the frequency or severity of episodes.']	30
why is ongoing therapy beneficial to those with insomnia?	['because sleep and ptsd are so closely linked']	31
when does jet lag occur?	['when your body travels across time zones, and your circadian rhythm remains synchronized with your old location.']	32
what is one place platform beds can be bought?	['directly from a manufacturer']	33
what percentage of the population suffers from sleep apnea?	['3% to 7%']	34
when can heartburn occur?	['after you eat a heavy meal or drink too much.']	35
what do egyptian cotton sheets and sateen sheets feel?	['exceptionally soft and comfortable']	36
how does the circadian rhythm impact the olfactory system?	['smell sensitivity changes through the day in accordance with our circadian timing']	37
what can immune activation contribute to?	['tiredness and the desire for more sleep']	38
what may a doctor do if they suspect sleep apnea?	['refer you to a sleep specialist for a sleep study']	39
what should you look for when choosing your mattress?	['a certipur-us certification.']	40
what is one cause of rls?	['iron deficiency']	41
what has been linked to high blood sugar levels in people with diabetes and prediabetes?	['getting poor sleep or less restorative slow-wave sleep']	42
what can provide reinforcement for platform beds to prevent sagging in the middle?	['the extra leg or legs in the center']	43
what do k-complexes consist of?	['a single sharp peak in electrical activity, followed immediately by a negative dip']	44
what are some pregnancy tips for sleep?	['sleeping on your left side and avoiding liquids before bed to reduce disruptions to your sleep']	45
what serious infections could night sweats be a symptom of?	['human immunodeficiency virus (hiv), tuberculosis, endocarditis, and brucellosis']	46
what activities have been shown to reduce the overall amount of time people spend asleep?	['work, commuting, and socializing']	47
what happens each time a person with sleep apnea stops breathing?	['the level of oxygen in the blood decreases.']	48
what is called primary insomnia?	['some people deal with insomnia that has no identifiable cause']	49
what foods lead to sleepiness?	['eating foods with tryptophan in addition to a large number of carbohydrates']	50
when do cortisol levels rise?	['in the early morning']	51
what are the effects of sodium oxybate?	['improve nighttime sleep in people with narcolepsy while also reducing cataplexy']	52
what can chronic stress lead to?	['a host of mental and physical symptoms, including impaired sleep, headaches, memory lapses, and digestive problems']	53
what are weighted blankets generally considered?	['safe, as long as the person using the blanket has enough strength and physical dexterity to lift the blanket off themselves when necessary to prevent suffocation or entrapment']	54
what can poor sleep be linked to?	['a higher risk of gestational diabetes mellitus']	55
what factors can interfere with your sleep quality?	['poor sleep habits, like having an irregular sleep schedule or consuming too much caffeine or alcohol']	56
what is the most preferred to wash egyptian cotton sheets?	['air drying']	57
how does sleep in elderly people differ from younger?	['experience a lower percentage of both slow-wave nrem and rem sleep']	58
what can keep waking you up at night?	['bedrooms that are too hot, bright, or noisy']	59
what is pain?	['an unpleasant sensation that we experience when nerve receptors send a signal to the brain telling us something is wrong']	60
what systems found in innersprings and hybrids could creak as they age?	['the coil systems']	61
what has the strongest correlation with isolated sleep paralysis?	['sleep disorders and other sleeping problems']	62
how many layers can luxury hybrids have?	['as many as six or seven']	63
what is it possible that gerd affects?	['it is possible that gerd affects the airway and ability to breathe normally, causing more apneas during the night.']	64
what does epsom salt contain?	['magnesium sulfate']	65
what are morning headaches often linked to?	['sleep disorders or other underlying conditions.']	66
when a child has a night terror, what is it best to do?	['stay close by and ensure that they do not fall or hurt themself']	67
what are the three main sleep positions?	['side, back, and stomach']	68
what percentage of recurring dreams are negative?	['77%']	69
what is 5:2 fasting?	['others may limit their caloric intake by 25% for two days of the week, then eat normally the remaining days']	70
why do parents opt for a flippable mattress?	"[""provides the ability to change the bed's feel if their child's preferences change""]"	71
what does the right surgery require?	['a clear understanding of what is causing symptoms']	72
what can sleeping with a weighted blanket help promote?	['relaxation']	73
what should you do to find out if you are eligible for medicare advantage plans?	['you or your caregiver must meet with a va doctor']	74
how can quality sleep affect children?	['children have improved mood and ability to focus.']	75
what measure is used to assess sleep quality?	['pittsburgh sleep quality index (psqi)']	76
what frequency of beats induced delta activity in the brain?	['delta frequency of 3 hz']	77
when was spikevax given full approval for vaccination in adults?	['january 31, 2022']	78
what can pillows help us with?	['maintain a healthier sleep posture and reduce back and neck pain']	79
what qualifies as confusional arousal?	['confusion, and they must not leave the bed or display signs of terror']	80
what temperature is most conducive to sleep?	['between 60 to 71 fahrenheit.']	81
what can pap therapy do for people with sleep apnea?	['stabilize breathing during sleep, reduce daytime sleepiness, and improve overall quality of life']	82
what is the epworth sleepiness scale?	['the epworth sleepiness scale asks you to rate how likely you are to fall asleep in certain situations, such as while sitting and reading or while riding in a car for an hour']	83
what can a bedroom that's too warm do?	"[""interfere with your body's thermoregulation abilities and cause fatigue""]"	84
what is the worst position for neck pain?	['stomach sleeping']	85
what does missing out on just one hour of sleep per night for a week produce the same cognitive impairments as?	['a single all-nighter']	86
what is cbd?	['a cannabinoid that comes from the cannabis plant but does not have psychoactive properties associated with tetrahydrocannabinol (thc)']	87
what should you do if you live in a cold climate that makes being outside difficult?	['open your curtains and sit near a window to take in a meaningful dose of natural light']	88
how do we prevent dvt?	['airline passengers on long flights are often instructed to stand up and stretch their legs periodically while they are in the air']	89
what happens if a mattress with a zoned design is rotated?	['may cause the mattress to be less comfortable and supportive.']	90
what is the impact of not having sleep debt?	['less brain fog and be more productive']	91
what may nightmares exacerbate?	['mental health conditions that can worsen sleep']	92
what is common among women?	['sleep issues']	93
why can stomach sleeping be uncomfortable for some people?	['because it requires the body to spend more energy on breathing compared with other sleeping positions']	94
when can children start remembering dreams?	['from the age of 3 or 4 years']	95
why is sleep position the most decisive factor when it comes to choosing your next pillow?	['some sizes are more compatible with certain sleeping positions than others']	96
who is a rapid maxillary expansion device used as treatment for?	['children with mild or moderate osa, in those with severe osa experiencing symptoms that persist after surgery removal the tonsils and adenoids, or in children with osa who clearly have a narrow or highly arched hard palate']	97
how is memory foam made?	['by mixing polyols and diisocyanates, then pouring the mixture into a mold, where it bubbles from the chemical reaction.']	98
what is the best option if my weighted blanket is stained?	['spot cleaning']	99
how can one prepare their environment for sleep?	['cool, dark, and noise-free.']	100
what are ways to maintain a healthy sleep dynamic?	['consistent sleep-wake times and proper sleep hygiene']	101
what program can offer confirmation that products have been tested for contaminants or mislabeling?	['the nsf international dietary supplement program']	102
what does actively caring for houseplants do?	['lowers blood pressure and suppresses sympathetic nervous system activity that can manifest as anxiety']	103
why is screening for osa important in a surgical context?	['people with osa have a higher risk of complications']	104
what is the best sleeping position for you and the fetus in later pregnancy?	['left side sleeping']	105
how can the loss of a loved one disrupt sleep quality?	['serious changes to lifestyle, such as a loss in financial security or safety, which can also disrupt sleep quality.']	106
